term,speech_part,meaning
arkitekto,,n. architect
arkitektura,,n. architecture
arko,,n. 1. arc; 2. arch; 3. bow for arrows; 4. violin bow
arkos,,n. arkose (geology)
arktiko,,arktiko adj. pertaining to the Arctic Circle or North Pole
Arktiko,,Arktiko n. Arctic; Arctic Circle
arkuhan,,"arkuhan (inaarkuhan, inarkuhan, aarkuhan) v., inf. furnish with an arch"
armada,,n. armada; fleet
armado,,adj. armed
armas,,armas n. 1. arms; weapons; 2. munitions
armasan,,"armasan (inaarmasan, inarmasan, aarmasan) v., inf. arm with weapons"
armi,,n. army
armistisyo,,n. armistice; stop in fighting
armonia,,armonia n. study of chords [music]
armonya,,armonya n. study of chords [music]
armonyo,,n. harmonium; organ [music]
army,,n. army
arnes,,arnes n. 1. art of fencing; 2. Philippine Karate
arnibal,,"n. thick, sweet syrup"
arnibalan,,"(inaarnibalan, inarnibalan, aarnibalan) v., inf. place syrup on something"
arnis,,arnis n. 1. art of fencing; 2. Philippine Karate
Aro,,Aro! intrj. Is that so!
arok,,arok n. gauge of the depth of water
arosbalensiyana,,n. rice dish with condiments and clams
aroskaldo,,n. rice porridge with chicken broth and ginger
Aroy,,"Aroy! intrj. excl. of pleasure, or pain, etc. (Wow!, Ouch!)"
arpa,,arpa n. harp (musical instr.)
Arsenic,,n. Arsenic (As)
arsobispado,,n. archbishopric
arsobispo,,n. archbishop
arte,,"n. 1. art; (arte ng pintura, art of painting); 2. ceremony; mannerism"
arteris,,"n., med. artery"
arteriya,,arteriya n. artery [anatomy]
arterya,,"n., med. artery"
artesyano,,"adj. artesian (poso artesyano, artesian well)"
artihan,,"artihan (inaartihan, inartihan, aartihan) v., inf. decorate; make artistic"
artiko,,artiko adj. pertaining to the Arctic Circle or North Pole
Artiko,,Artiko n. Arctic; Arctic Circle
artikulante,,adj. talkative; loquacious
artikulasyon,,artikulasyon n. articulation
artikulo,,artikulo n. 1. magazine article; 2. article (gram. term.)
artilyeria,,artilyeria n. artillery
artipisyal,,artipisyal adj. 1. artificial; superficial; 2. unnatural
artipisyo,,n. artifice
artist,,n. 1. actor; actress; 2. artist
artista,,n. 1. actor; actress; 2. artist
artistik,,adj. artistic
artistiko,,artistiko adj. artistic
artisyano,,"adj. artesian (poso artesyano, artesian well)"
artritis,,"n., med. arthritis"
artsipelago,,artsipelago n. archipelago
aruga,,aruga n. tender care; nurture
arugain,,"arugain (inaaruga, inaruga, aarugain) v., inf. take care of; provide for"
arupel,,arupel n. tinsel; tin foil
aruro,,"aruro n., bot. arrowroot (herbaceous plant)"
arusbalensiyana,,n. rice dish with condiments and clams
aruskaldo,,n. rice porridge with chicken broth and ginger
Aruy,,Aruy intrj. Ouch! Wow! (more intense than Aray!)
arya,,arya n. aria
Arya,,Arya! intrj. urge on horses or cattle; Giddap!
aryahan,,"aryahan (inaaryahan, inaryahan, aaryahan) v., inf. 1. let something hang down (rope, etc.); 2. hit with some force; 3. continue to go ahead"
asa,,n. 1. hope; 2. trust; 3. dependence; 4. chance; 5. anticipation
asad,,n. small woven bamboo strips inside a cooking vessel to prevent from sticking to the bottom
asada,,adj. roasted in an oven
asada,,n. hoe
asadahin,,"(inaasada, inasada, aasadahin) v., inf. hoe soil; dig up soil with a hoe"
asado,,adj. roasted in an oven
asaduhin,,"(inaasado, inasado, aasaduhin) v., inf. roast in an oven"
asahan,,"(inaasahan, inasahan, aasahan) v., inf. 1. hope for; 2. rely on; 3. anticipate; 4. bargain for"
asahar,,asahar n. orange blossoms worn on the head by a bride
asaharan,,"asaharan (inaasaharan, inasaharan, aasaharan) v., inf. place orange blossoms on the head"
asak,,asak adj. much in vogue
asal,,n. conduct; behaviour (US: behavior)
asal-demonyo,,n. devilish conduct
asalin,,"(inaasal, inasal, aasalin) v., inf. act; behave (oneself)"
asalto,,"n. 1. assault, attack; 2. surprise party"
asam-asamin,,"asam-asamin (inaasam-asam, inasam-asam, aasam-asamin) v., inf. long for; anxiously await or desire"
asamblea,,n. law-making group; assembly
asambleista,,n. assemblyman (member of legislative assembly)
asamin,,"(inaasam, inasam, aasamin) v., inf. long for; anxiously await or desire; crave"
asana,,"asana n., bot. species of tree producing timber (narra)"
asanorya,,"n., bot. carrot"
asap,,"asap n. irritation of the eyes caused by smoke, etc."
asarol,,asarol n. large hoe
asarulin,,"asarulin (inaasarul, inasarul, aasarulin) v., inf. hoe; use a hoe"
asasin,,n. assassin
asasinesyon,,asasinesyon n. assassination; murder
asasineysyon,,asasineysyon n. assassination; murder
asawa,,n. spouse; partner in life
asbesto,,n. asbestos
asbok,,"asbok n. sudden gust of smoek, dust or thick vapour (US: vapor)"
asegurahin,,"asegurahin (inaasegura, inasegura, aasegurahin) v., inf. insure"
aselerador,,aselerador n. accelerator
asendero,,"n. person who owns and runs a hacienda , etc."
Asensiyon,,Asensiyon n. Ascension
asenso,,n. promotion
asensor,,asensor n. elevator
asento,,n. accent
asero,,n. 1. steel; 2. nib; pen point
asesino,,n. assassin
asesment,,n. assessment (e.g. of taxes)
asesor,,asesor n. tax assessor
asetik,,"n., adj. ascetic [n]; ascetic; self-denying [adj.]"
asetiko,,"asetiko n., adj. ascetic [n]; ascetic; self-denying [adj.]"
asetilen,,asetilen n. acetylene
asetileno,,n. acetylene
asetisismo,,n. asceticism
aseyte,,n. oil
aseyte-de-kastor,,aseyte-de-kastor n. castor oil
Asia,,n. Asia
Asian,,n. Asian
Asiano,,adj. Asiatic
asid,,n. acid
asido,,asido n. acid
asignasyon,,asignasyon n. assignment
asignatura,,n. subject being studied in school
asikaso,,n. attention
asikasuhin,,"(inaasikaso, inasikaso, aasikasuhin) v., inf. 1. attend to; 2. mind; look after"
asikasuhin,,asikasuhin n. things to be attended to
asikot,,asikot n. loitering
asikutero,,n. laggard; loiterer
asilo,,n. asylum
asim,,n. sourness; acidity
asiman,,"(inaasiman, inasiman, aasiman) v., inf. make sour"
asin,,asin n. salt
asinan,,"asinan (inaasinan, inasinan, aasinan) v., inf. put salt (on)"
asinan,,asinan n. 1. salt bed; 2. saltcellar
asinbato,,n. rock salt
asing-bato,,n. rock salt
asinorya,,"n., bot. carrot"
asintado,,adj. adjusted; fixed; fitted
asintahin,,"asintahin (inaasinta, inasinta, aasintahin) v., inf. adjust or fit mechanical parts"
asistensiya,,asistensiya n. 1. assistance; aid; 2. attendance; presence
asistensya,,asistensya n. 1. assistance; aid; 2. attendance; presence
asistente,,n. assistant
asistihan,,"asistihan (inaasistihan, inasistihan, aasistihan) v., inf. 1. attend; 2. assist; help"
asiwa,,"asiwa (inaasiwa, inasiwa, aasiwa) v., inf. administer"
asiwa,,asiwa adj. 1. ungainly; awkward; 2. unskilled; 3. uneasy
askad,,"askad n. somewhat bitter, acid taste"
askarid,,"askarid n., zoo. ascaris; ascarid; roundworm"
askarides,,"askarides n., zoo. ascaris; ascarid; roundworm"
askaris,,"askaris n., zoo. ascaris; ascarid; roundworm"
asma,,"n., med. asthma"
asmahin,,"asmahin (inaasma, inasma, aasmahin) v., inf. suffer from asthma; have an attack of asthma"
asmatika,,asmatika adj. asthmatic
asmatiko,,asmatiko adj. asthmatic
asnan,,"asnan (inaasnan, inasnan, aasnan) v., inf. mix with salt; salt (in order to preserve)"
asngal,,asngal n. palate; roof of the mouth
asngaw,,asngaw n. 1. smell of liqour from a drunken person; 2. smell of something rotten
asno,,"n., zoo. donkey"
aso,,aso n. smoke
aso,,"n., zoo. dog"
asod,,"asod n. successive blows, either by hammer (blacksmith), or as in boxing"
asog,,adj. sterile; asexual
Asoge,,n. Mercury (Hg)
asong babae,,"comp., n. bitch; female dog"
asong baliw,,asong baliw n. mad dog
asong pangaso,,"n., zoo. hound; hunting dog"
asong punggi,,"asong punggi n., zoo. tailless dog"
asong tagapagbantay,,"asong tagapagbantay n., zoo. watchdog"
asong ulol,,"asong ulol comp., n. mad dog"
asosasyon,,asosasyon n. association; union
asosyasiyon,,asosyasiyon n. 1. association; 2. contact with other people
asosyasyon,,asosyasyon n. 1. association; 2. contact with other people
asotea,,n. 1. balcony built above the ground floor; 2. roofless veranda over a porch
aspaltado,,adj. asphalted
aspalto,,n. asphalt
aspaltuhan,,"aspaltuhan (inaaspaltuhan, inaspaltuhan, aaspaltuhan) v., inf. asphalt or pave with asphalt"
aspaltuhin,,"aspaltuhin (inaaspalto, inaspalto, aaspaltuhin) v., inf. asphalt; pave with asphalt"
asparago,,"asparago n., bot. asparagus"
asparagus,,"asparagus n., bot. asparagus"
aspiksiya,,"aspiksiya n., med. asphyxia"
aspiksya,,"aspiksya n., med. asphyxia"
aspile,,aspile n. pin; decorative pin; brooch; tie pin; scarf pin
aspili,,aspili n. pin
aspilihan,,"aspilihan (inaaspilihan, inaspilihan, aaspilihan) v., inf. fasten or close with a pin (pins)"
aspilihan,,aspilihan n. pin cushion
aspirante,,n. aspirant
aspirin,,"aspirin n., med. aspirin"
aspirina,,"n., med. aspirin"
asta,,asta n. 1. pose; attitude of body; 2. action
astaka,,astaka adj. eroded by water
astaka,,astaka n. mould (US: mold) for making lead weights for fishing nets
Astatin,,n. Astatine (At)
asterisk,,asterisk n. asterisk (the sign *)
asterisko,,asterisko n. asterisk (the sign *)
astrologo,,astrologo n. astrologer
astrolohia,,astrolohia n. astrology
astrolohiya,,astrolohiya n. astrology
astronaut,,astronaut n. astronaut
astronomer,,astronomer n. astronomer
astronomia,,astronomia n. astronomy
astronomiya,,astronomiya n. astronomy
astronomo,,astronomo n. astronomer
astronomya,,astronomya n. astronomy
astropobya,,n. fear of lightning and thunder
asuang,,asuang n. evil creature able to assume different forms and to harass people at night (folklore)
asuangin,,"asuangin (inaasuang, inasuang, aasuangin) v., inf. be bewitched by an ""asuang"""
asugan,,"n., zoo. grown barracuda"
asuhin,,"asuhin (inaaso, inaso, aasuhin) v., inf. flatter a person with derision; deceive"
asuhos,,"n., zoo. whiting (fish)"
asukal,,n. sugar
asukalan,,"asukalan (inaasukalan, inasukalan, aasukalan) v., inf. sugar; sweeten with sugar"
asukalan,,asukalan n. 1. sugar mill; 2. sugar bowl
asukalin,,"(inaasukal, inasukal, aasukalin) v., inf. form into sugar"
asukarera,,n. 1. sugar mill; 2. sugar bowl
asukarero,,n. dealer in sugar
asul,,"asul n., adj. blue; azure"
asul-marino,,"asul-marino n., adj. navy blue"
asuleho,,n. glazed blue tile
Asunsiyon,,Asunsiyon n. Feast of the Aasumption of the Blessed Virgin
asunto,,n. 1. lawsuit; 2. affair; business
asuos,,"n., zoo. whiting (fish)"
Asupre,,n. Sulfur (Sulphur) (S)
asuran,,asuran n. anvil
asurin,,"asurin (inaasod, inasod, aasurin) v., inf. deliver a succession of blows"
asusena,,"n., bot. white lily"
asuwang,,asuwang n. evil creature able to assume different forms and to harass people at night (folklore)
aswang,,aswang n. evil creature able to assume different forms and harass people at night (folklore)
aswangin,,"aswangin (inaaswang, inaswang, aaswangin) v., inf. be bewitched (usually women who are about to give birth)"
aswela,,n. adze
Asya,,n. Asia
Asyan,,n. Asian
Asyano,,adj. Asiatic
asyenda,,n. hacienda
at,,conj. and
at iba pa,,"at iba pa comp. etc., et cetera"
at iba pang gaya nito,,at iba pang gaya nito comp. and so on; and more of the same
at saka,,at saka comp. ... and in addition
ata,,"pron. our, ours"
atado,,n. goods tied or wrapped up
atag,,1. adv.; 2. n 1. persistently; repeatedly; 2. community work on digging and levelling roads
atake,,n. 1. attack; 2. breakdown; 3. tirade
atake personal,,"atake personal comp., n. personal attack"
atake sa puso,,"atake sa puso n., med. heart attack"
atake serebral,,"atake serebral n., med. stroke; apoplexy"
atakihan,,atakihan n. mutual attack (physical and verbal)
atakihin,,"atakihin (inaatake, inatake, aatakihin) v., inf. 1. attack; assail; 2. suffer an attack of sickness"
atalon,,atalon n. atoll
atang,,n. helping another to place a load on head or shoulders
atang-atang,,"n., zoo. scorpion"
atangan,,"(inaatangan, inatangan, aatangan) v., inf. help to raise a load onto another's head or shoulders"
atangya,,"atangya n., zoo. insect or bug that infests rice, beans an other grains and leave a bad smell"
atas,,n. 1. order; command; 2. mandate
atas,,n. bidding; command
atasan,,"(inaatasan, inatasan, aatasan) v., inf. 1. order; impose; 2. command; direct; 3. instruct; bind; 4. oblige by law"
ataud,,ataud n. coffin
ataul,,ataul n. coffin
atay,,atay n. arch of the sole of the foot
atay,,"atay n., adj. liver"
atay-atay,,adv. slowly; little by little
"atb., atbp.",,comp. etc. (et cetera)
ate,,ate n. title for elder sister
ateismo,,n. atheism
ateista,,n. atheist
atensiyon,,atensiyon n. 1. attention; 2. military attitude of readiness
atensyon,,atensyon n. 1. attention; 2. military attitude of readiness
atento,,adj. attentive
ateo,,n. atheist
ati,,"n., adj. title for elder sister"
atig,,atig n. gentle persuasion; indirect invitation
atik,,atik n. money; cash; earnings [slang]
atik,,n. attic
atikabo,,"atikabo n. 1. enthusiasm; lively spirit; 2. sudden outburst, e.g. of applause"
atikha,,atikha n. gradual accumulation of an amount by saving
atikhain,,"atikhain (inaatikha, inatikha, aatikhain) v., inf. gradually accumulate an amount by saving"
atim,,atim n. tolerance; bearing with; sufferance
atimin,,"atimin (inaatim, inatim, aatimin) v., inf. allow; tolerate; permit"
atin,,"gram. our, ours; of us [prepositive pron.]"
atinde,,atinde n. attention to
atindi,,atindi n. attention
atindihin,,"atindihin (inaatindi, inatindi, aatindihin) v., inf. attend to"
atip,,atip n. roofing made of grass or palm leaves
atis,,"n., bot. custard apple (tree and fruit)"
atitud,,atitud n. attitude
Atlantik,,n. Atlantic Ocean
Atlantiko,,Atlantiko n. Atlantic Ocean
atlas,,n. atlas
atleta,,n. athlete
atletiks,,n. athletics
atmospera,,atmospera n. atmosphere
ato,,ato n. familiar way of addressing a boy
ato,,n. attempt; try; venture
atole,,n. paste made from flour
atom,,n. atom
atomik,,adj. atomic
atomika,,atomika adj. atomic
atomo,,atomo n. atom
atorni,,n. attorney
atraksiyon,,atraksiyon n. attraction
atraktiba,,adj. attractive
atraktibo,,adj. attractive
atras,,atras n. backward movement
atrasado,,adj. 1. late; delinquent; 2. behind time
atrasan,,"atrasan (inaatrasan, inatrasan, aatrasan) v., inf. 1. move backwards; 2. withdraw support"
atraso,,n. 1. lateness; 2. arrears (debt due not paid)
atrasuhin,,"(inaatraso, inatraso, aatrasuhin) v., inf. delay; be delayed; dally (with)"
atrebido,,adj. daring
atril,,atril n. music stand; easel; lectern
atropiya,,atropiya n. atrophy
atropya,,atropya n. atrophy
atrosidad,,atrosidad n. atrocity
atsara,,n. pickles
atsarahin,,"(inaatsara, inatsara, aatsarahin) v., inf. pickle"
atsoy,,atsoy n. jeer
atsuete,,"n., bot. small tree bearing fruits"
atsuwete,,"n., bot. small tree bearing fruits"
atswete,,"n., bot. small tree bearing fruits"
atubili,,"atubili, -i, -i n., adj. 1. reluctance; unwillingness [n]; 2. doubtful; hesitant [adj.]"
atungal,,"n. cry, bellow, etc. of cattle"
atupag,,"n. continuous, regular occupation or task"
atupagin,,"(inaatupag, inatupag, aatupagin) v., inf. attend to something regularly as task or duty"
atupagin (mga -),,"mga atupagin n., pl. odd jobs; small tasks"
audisyon,,audisyon n. audition
audit,,n. audit; examination of accounts or financial statements
auditibo,,n. telephone receiver; receiver
auditin,,"auditin (inaaudit, inaudit, aauditin) v., inf. audit; examine and check accounts or financial statements"
auditor,,auditor n. auditor; accountant
auditoryum,,n. auditorium
augita,,"n. augite (geology, mineral)"
auksilyar,,"auksilyar n., adj. helper [n]; auxiliary [adj.]"
aumento,,n. addition; increase
aumentuhan,,"aumentuhan (inaaumentohan, inaumentuhan, aaumentuhan) v., inf. increase"
aureola,,n. aureole
ausensiya,,ausensiya n. absence
Australia,,n. Australia
Australian,,n. Australian
Australiana,,n. Australian
australiano,,adj. Australian
australiano,,adj. Australian
autentisidad,,autentisidad n. reliability; autenticity
auto,,n. car; automobile
autobiyograpiko,,autobiyograpiko adj. autobiographical
autobiyograpiya,,autobiyograpiya n. autobiography
autograp,,autograp n. autograph
autokrasya,,n. autocracy
autokrat,,autokrat n. autocrat
autokrata,,autokrata n. autocrat
autokratik,,adj. autocratic
autokratiko,,autokratiko adj. autocratic
automatik,,"adj., n. automatic [adj.; press button [n]"
automatiko,,"automatiko adj., n. automatic [adj.]; press button [n]"
automobil,,automobil n. car; automobile
autonomia,,n. autonomy
autopsi,,autopsi n. autopsy
autopsiya,,autopsiya n. autopsy
autopsiyahin,,"autopsiyahin (inaautopsiya, inautopsiya, aautopsiyahin) v., inf. perform a post-mortem"
autor,,autor n. author
autoridad,,autoridad n. 1 authority; authorization; : 2. source of correct information or wise advice
autorisado,,adj. authorized (authorised)
autorisahan,,"autorisahan (inaautoristahan, inautoristahan, aautoristahan) v., inf. authorize; give power/right"
autorisahan,,"autorisahan (inaautoristahan, inautoristahan, aautoristahan) v., inf. authorize; give power/right"
autorisasyon,,autorisasyon n. authorization
aw-aw,,n. 1. barking of dogs; 2. term for a dog by children
awa,,awa n. 1. mercy; compassion; 2. clemency; 3. quarter; 4. sympathy
awak,,awak n. overflow of water from a container; overflow of a river
awak,,n. large body of water
awan,,"n., mat. zero"
awang,,awang 1. n.; 2. adj. 1. space between; gap; crack; 2. slightly open
awang-awa,,awang-awa adj. feeling much pity for somone
awangan,,"awangan (inaawangan, inawangan, aawangan) v., inf. leave a space or gap"
awanggan,,n. infinity
awangganin,,adj. infinite
awangganing tangkas,,"comp., n., mat. infinite set"
awanging tubo,,"comp., n. vacuum tube"
awas,,"awas adj. 1. decucted; 2. unharrassed (horse, etc.); 3. dismissed (at dismissal time of workers, etc.)"
awas,,n. overflow
awasan,,"awasan (inaawasan, inawasan, aawasan) v., inf. 1. deduct; 2. unload or unharness (animal)"
awasan,,awasan n. dismissal time
awasin,,"(inaawas, inawas, aawasin) v., inf. deduct"
awasin,,"awasin (inaawas, inawas, aawasin) v., inf. unharness or unload (animal)"
awat,,n. 1. pacification of quarreling people; 2. weaning of a baby
awat,,n. reducing or putting out a fire in a stove
awatan,,"awatan (inaawatan, inawatan, aawatan) v., inf. reduce or put out fire in a stove"
awatin,,"(inaawat, inawat, aawatin) v., inf. pacify or separate quarreling persons"
away,,n. 1. quarrel; dispute; 2. fight; noisy quarrel
awayan,,awayan n. enmity
awayin,,"(inaaway, inaway, aawayin) v., inf. quarrel or fight"
awdisyion,,awdisyion n. audition
awdit,,n. audit; examination of accounts or financial statements
awditibo,,n. telephone receiver; receiver
awditin,,"awditin (inaawdit, inawdit, aawditin) v., inf. audit"
awditor,,awditor n. auditor
awditor,,awditor n. auditor; accountant
awditoryum,,n. auditorium
awit,,n. 1. song; 2. anthem
awit na pambansa,,pambansa comp. national anthem
awitan,,"(inaawitan, inawitan, aawitan) v., inf. sing"
awitin,,"(inaawit, inawit, aawitin) v., inf. sing (something specific)"
Awrum,,n. Gold (Au)
awto,,n. automobile; car
awtobiyograpiko,,awtobiyograpiko adj. autobiographical
awtobiyograpiya,,awtobiyograpiya n. autobiography
awtobus,,n. bus
awtograp,,awtograp n. autograph
awtokrasya,,n. autocracy
awtokrat,,awtokrat n. autocrat
awtokrata,,awtokrata n. autocrat
awtokratik,,adj. autocratic
awtokratiko,,awtokratiko adj. autocratic
awtomatik,,"adj., n. automatic [adj.]; press button [n]"
awtomatiko,,"awtomatiko adj., n. automatic [adj.]; press button [n]"
awtonomia,,n. autonomy
awtor,,awtor n. author
awtoridad,,awtoridad n. 1. authority; authorization; : 2. source of correct information or wise advice
awtorisado,,adj. authorized (authorised)
awtorisasyon,,awtorisasyon n. authorization
ay,,"gram. 1. ligature (equal to ""is""); 2. instead of comma (,)"
Ay!,,"intrj. ""Oh!"" (expressing disappointment, etc.)"
aya,,aya n. invitation
aya,,n. nurse or maid for small children
ayain,,"(inaaya, inaya, aayain) v., inf. invite (someone)"
Ayan,,Ayan! intrj. There! There it is!
ayap,,"n., bot. string beans"
ayaw,,1. n.; 2-3. adj. 1. dislike; 2. loth; 3. averse
ayaw-ayaw,,ayaw-ayaw adj. proportionately distributed
ayawan,,"ayawan (inaayawan, inayawan, aayawan) v., inf. be disliked, disapproved, refused, etc."
ayina,,"n., zoo. hyena"
ayo,,ayo n. partiality; bias
ayon,,adj. agreeable; in comformity (with)
ayon,,"ayon v., inf. is there; was there [pseudo-verb]"
ayon sa/kay,,prep. according (to)
ayos,,adj. presentable
ayos,,n. 1. order; 2. arrangement; 3. condition; 4. make-up
ayos na ayos,,adj. very presentable
aysing,,n. icing (for cakes)
Ayta,,n. Negrito (Philippine tribe)
ayuan,,"(inaayuan, inayuan, aayuan) v., inf. take sides"
ayuda,,n. 1. aid; 2. something supplementary
ayudahan,,"(inaayudahan, inayudahan, aayudahan) v., inf. aid; supplement"
ayudante,,n. 1. adjutant; 2. assistant
ayun,,"ayun v., inf. is there; was there [pseudo-verb]"
Ayun,,Ayun! intrj. There! There it is!
ayunan,,"(inaayunan, inayunan, aayunan) v., inf. 1. accede; agree; 2. endorse; 3. approve"
ayungin,,"n., bot. fresh water fish"
ayuno,,n. fasting
ayupin,,"(inaayup, inayup, aayupin) v., inf. humiliate, aggrieve or do wrong to someone"
ayusin,,"(inaayos, inayos, aayusin) v., inf. settle; put in order; arrange"
aywan,,"aywan expr. used like this: ""aywan ko"", ""I don't know"" [idiom. expression]"
Aywan!,,expr. I don't know!
Ba,,Ba intrj. form of address to uncle or elderly man
Ba!,,"intrj. expressing disgust or surprise (short for ""Aba!"")"
baak,,baak adj. split; divided into two
baakin,,"baakin (binabaak, binaak, babaakin) v., inf. split, cleave or halve"
baat,,baat n. 1. rattan reinforcement; 2. band of rattan inside hats
bab,,n. short haircut for girls and women
baba,,baba adj. carried on the back (as a child)
baba,,baba n. 1. descent; 2. fruit picking in season
baba,,baba n. chin
baba,,baba n. coitus of animals
baba,,"baba n. lowness (prices, etc.)"
babaan,,"(binababaan, binabaan, bababaan) v., inf. directly reduce something in height, value, or difficulty"
babaan,,"babaan (binababaan, binabaan, bababaan) v., inf. take something downstairs"
babaan,,babaan n. 1. landing place for passengers/goods; 2. landing place for aeroplanes
babaang-luksa,,babaang-luksa n. ceremony held at end of mourning period
babad,,babad adj. soaked
babad,,n. soaking (in liquid); soak
babae,,adj. female
babae,,n. 1. woman; lady; 2. female; 3. mistress; paramour
babaero,,n. man who has mistress(es)
babag,,babag n. quarrel; scuffle; fight
babag,,"n. collision; bump; impact (for bodies, not for vehicles)"
babagan,,babagan n. fight amongst many
babagin,,"(binababag, binabag, bababagin) v., inf. fight or quarrrel"
babahaan,,babahaan n. place that gets flooded
babahin,,"babahin (binababa, binaba, bababahin) v., inf. carry a child piggy-back"
babaihin,,"(binababae, binabae, bababaihin) v., inf. take a woman as mistress"
babaing ikakasal,,ikakasal n. bride; woman about to be married
babaing tagatangkilik,,"comp., n. patroness; woman who helps with with her name, money or presence"
babala,,"babala n. 1. warning of danger; 2. admonition; 3. portent, as of a coming storm; 4. indication"
babalaan,,"babalaan (binababalaan, binabalaan, bababalaan) v., inf. tip off or warn someone"
babaran,,"(binababaran, binabaran, bababaran) v., inf. stay long with someone"
babarin,,"(binababad, binabad, bababarin) v., inf. soak"
babasagin,,babasagin adj. fragile; brittle
babasahin,,babasahin n. reading matter
babaw,,n. 1. shallowness; 2. shoal
babawan,,"(binababawan, binabawan, bababawan) v., inf. make shallow"
babayaran,,babayaran adj. chargeable (will be payed by others)
babero,,n. bib (for babies)
babhin,,"babhin (binababa, binaba, bababhin) v., inf. carry a child piggy-back"
babig ng kamatayan,,"babig ng kamatayan comp., n. deathbed"
babin,,"babin (binabab, binab, bababin) v., inf. bob; cut the hair short"
babor,,babor n. 1. larboard; port side; 2. porthole
baboy,,"1. n., zoo.; 2. adj. 1. pig; hog; 2. dirty; unsanitary [fig.]"
baboy-damo,,"baboy-damo n., zoo. wild boar"
baboy-ramo,,"baboy-ramo n., zoo. wild boar"
babuyan,,n. piggery
babuyin,,"(binababoy, binaboy, bababuyin) v., inf. make something dirty or immoral"
badeo,,n. ferryboat
badigard,,badigard n. bodyguard
badminton,,badminton n. badminton (game)
badya,,badya n. expression; assertion; declaration
badya,,badya n. mimicry; mockery
badyahin,,"badyahin (binabadya, binadya, babadyahin) v., inf. mimic someone"
badyet,,n. budget
badyitin,,"badyitin (binabadyet, binadyet, babadyitin) v., inf. budget"
bag,,n. 1. ladie's bag; 2. paper bag; 3. sack for grain
bag-ang,,n. molar tooth
baga,,baga interrog. is used in asking quenstions
baga,,"baga n., anat. lung"
baga,,"baga n., med. abscess; tumor"
baga,,n. glowing coal; ember
bagabag,,bagabag adj. uneasy; apprehensive; troubled
bagabag,,n. trouble; uneasiness; restlessness
bagabagin,,"(binabagabag, binagabag, babagabagin) v., inf. smite; bring distress or grief"
bagabundo,,1. n.; 2. adj. 1. vagabond; tramp; 2. vagrant
bagahe,,n. 1. baggage; 2. shipment
bagakbak,,bagakbak adj. flowing out
bagal,,n. sloth; tardiness; delay
bagalan,,"(binabagalan, binagalan, babagalan) v., inf. slacken; make slower"
bagama't,,bagama't conj. although; though; while
bagaman,,bagaman conj. although; though; while
bagamundo,,1. n.; 2. adj. 1. vagabond; tramp; 2. vagrant
bagang,,bagang n. molar tooth
bagansiya,,bagansiya n. 1. vagrancy; 2. truancy
bagansya,,bagansya n. 1. vagrancy; 2. truancy
bagaso,,n. bagasse of sugarcane
bagay,,adj. appropriate; fit; expedient; suitable; usable; becoming; qualified
bagay,,n. object; thing; matter; affair
bagay sa,,prep. regarding; concering
bagay sa lalaki,,comp. manlike; suitable for a man
bagay sa reyna,,comp. queenly
bagay-bagay,,n. 1. circumstances; terms; 2. things; articles
bagayan,,"(binabagayan, binagayan, babagayan) v., inf. 1. look becoming; 2. tone with; 3. conform; agree"
bagbag,,bagbag adj. 1. broken up (soil or rock); 2. shipwrecked; 3. sympathetic
bagbagin,,"bagbagin (binabagbag, binagbag, babagbagin) v., inf. undermine"
bagbagin,,bagbagin n. place undermined or worn away by wter
baghan,,baghan n. stupor; bewilderment
bagin,,"n., bot. vine"
baging,,"n., bot. vine"
bagingan,,"(binabagingan, binagingan, babagingan) v., inf. plant a vine to climb along a structure"
bagingan,,n. place where vines grow
bagisbis,,bagisbis adj. 1. flowing copiosly (tears); 2. struck by strong winds; 3. trickling while pouring out of a bottle
bagisbisin,,"bagisbisin (binabagisbis, binagisbis, babagisbisin) v., inf. 1. flow copiusly (tears); 2. strike violently as wind on sails; 3. trickling of a bottle when pouring"
bagito,,n. 1. push-over; person very easy to beat; 2. fledgling
bagkat,,bagkat n. thickened sugarcane syrup; molasses candy
bagko,,bagko n. impediment
bagkos,,bagkos adj. on the contrary
bagkus,,bagkus adj. on the contrary
bagna,,bagna adj. disorderly piled
bago,,adj. 1. new; 2. fresh; 3. original; 4. recent; 5. modern; 6. young; unexperienced
bago,,adv. 1. before; 2. by; 3. newly; recently
bago,,conj. before; rather than
bago tumanghali,,tumanghali comp. forenoon; time immediately preceding noon
bagok,,bagok n. thump caused by something falling
bagol,,bagol adj. 1. uncouth; 2. slow; awkward
bagol,,bagol n. five-centavo coin
bagon,,bagon n. 1. freight car; wagon; van; 2. truck or car used in coal mines
bagoneta,,n. small open pushcart; small freight car
bagong anyo,,"bagong anyo comp., n. changed or new appearance; modification"
bagong buwan,,"comp., n. New Moon"
bagong nagsisimula,,"nagsisimula comp., adj. incipient; infant"
Bagong Tipan,,Bagong Tipan comp. New Testament
bagong-buhay,,n. new life
bagong-panganak,,bagong-panganak adj. newborn
bagong-tao,,n. bachelor
bagoong,,"bagoong n. small fish, shrimps or prawns that have been sused"
bagoongin,,"(binabagoong, binagoong, babagoongin) v., inf. pickle small fish, shrimps or prawns"
bagot,,bagot adj. 1. fed up; 2. exasperated; 3. tired
bagsak,,bagsak adj. 1. failed; 2. broken down; 3. defeated; 4. bankrupt
